database,table,columns
REGULADOS,JSH_Base_Disponibilidad_junio_05_10,8
REGULADOS,JSH_Base_Disponibilidad_junio_11_23,8
REGULADOS,JSH_Base_Disponibilidad_junio_21_30,8
REGULADOS,JSH_Base_Disponibilidad_mayo_01_04,8
REGULADOS,JSH_Base_Disponibilidad_mayo_05_09,8
REGULADOS,JSH_Base_Disponibilidad_mayo_10_14,8
REGULADOS,JSH_Base_Disponibilidad_mayo_15_19,8
REGULADOS,JSH_Base_Disponibilidad_mayo_20_25,8
REGULADOS,JSH_Base_Disponibilidad_mayo_26_30,8
REGULADOS,KCS_CATALOGO_MOTIVOS_OSIPTEL,3
REGULADOS,T_BASE_202209,51
REGULADOS,T_BASE_202210,51
REGULADOS,T_BASE_202211,51
REGULADOS,T_BASE_202212,51
REGULADOS,T_BASE_202301,69
REGULADOS,T_BASE_202302,69
REGULADOS,T_BASE_202303,69
REGULADOS,T_BASE_202304,69
REGULADOS,T_BASE_202305,69
REGULADOS,T_BASE_202306,69
REGULADOS,T_BASE_202307,69
REGULADOS,T_BASE_202308,69
REGULADOS,T_BASE_202309_ENVIO_OSIPTEL_NUEVA_VERSION,67
REGULADOS,T_BASE_202310_ENVIO_OSIPTEL_NUEVA_VERSION,67
REGULADOS,T_BASE_202311_ENVIO_OSIPTEL_NUEVA_VERSION,67
REGULADOS,T_BASE_202312_ENVIO_OSIPTEL_NUEVA_VERSION,67
REGULADOS,T_BASE_202401_ENVIO_OSIPTEL_NUEVA_VERSION,49
REGULADOS,T_BASE_202402_ENVIO_OSIPTEL_NUEVA_VERSION,49
REGULADOS,T_BASE_202403_ENVIO_OSIPTEL_NUEVA_VERSION,49
REGULADOS,T_BASE_202404_ENVIO_OSIPTEL_NUEVA_VERSION,49
REGULADOS,T_BASE_202405_ENVIO_OSIPTEL_NUEVA_VERSION,49
REGULADOS,T_BASE_202406_ENVIO_OSIPTEL_NUEVA_VERSION,49
REGULADOS,T_BASE_202407_ENVIO_OSIPTEL_NUEVA_VERSION,49
