database,table,columns
DEFAULT_DB,PE_PROD_ESL_VIEW_VW_DMA_INFO,21
DEFAULT_DB,PE_PROD_ESL_VIEW_VW_DMA_INFO_ACUMULADO,21
DEFAULT_DB,PE_PROD_ESL_VIEW_VW_DMA_INFO_ACUMULADO_2024,21
DEFAULT_DB,PE_PROD_ESL_VIEW_VW_SESIONES_ECARE,18
DEFAULT_DB,PLANTA_CLIENTE_DIGITAL_V2,69
DEFAULT_DB,PLANTA_MT_202501,9
DEFAULT_DB,RESUMEN_CU_CERRADOS,14
DEFAULT_DB,RESUMEN_DMA,6
DEFAULT_DB,RESUMEN_PROCESO_DMA,14
DEFAULT_DB,STAGE_PLANTA_CLIENTE_DIGITAL,69
DEFAULT_DB,TMP_WP_CONSOLIDADO_LOGIN_UUD_202501,6
DEFAULT_DB,VENTAS_CAEQ_202501,238
DEFAULT_DB,VENTAS_CAEQ_202502,238
DEFAULT_DB,VENTAS_CAEQ_202503,238
DEFAULT_DB,VENTAS_CAEQ_202504,238
DEFAULT_DB,VENTAS_CAEQ_202505,238
DEFAULT_DB,VENTAS_CAEQ_202506,238
DEFAULT_DB,VENTAS_CAEQ_202507,238
DEFAULT_DB,VENTAS_CAEQ_202508,238
DEFAULT_DB,VENTAS_CAEQ_202509,238
DEFAULT_DB,VENTAS_CAEQ_202510,238
DEFAULT_DB,VENTAS_CAEQ_202511,238
DEFAULT_DB,VENTAS_CARIBU_202501,138
DEFAULT_DB,VENTAS_CARIBU_202502,138
DEFAULT_DB,VENTAS_CARIBU_202503,138
DEFAULT_DB,VENTAS_CARIBU_202504,138
DEFAULT_DB,VENTAS_CARIBU_202505,138
DEFAULT_DB,VENTAS_CARIBU_202506,138
DEFAULT_DB,VENTAS_CARIBU_202507,138
DEFAULT_DB,VENTAS_CARIBU_202508,138
DEFAULT_DB,VENTAS_CARIBU_202509,138
DEFAULT_DB,VENTAS_CARIBU_202510,138
DEFAULT_DB,VENTAS_CARIBU_202511,138
DEFAULT_DB,YR_FunnelPhoenix_Caribu,15
DEFAULT_DB,sysdiagrams,5
DEFAULT_DB,DIM.OFERTA_BP,4
DEFAULT_DB,DIM.OPERATOR_STATUS,2
DEFAULT_DB,DIM.PLATAFORMA,7
DEFAULT_DB,DIM.PLATAFORMA_AGRUPADA,9
DEFAULT_DB,DIM.PROVEEDOR,2
DEFAULT_DB,DIM.TIEMPO,43
DEFAULT_DB,STAGE.CCEE_AGENT_30MIN,16
DEFAULT_DB,STAGE.CCEE_AGENT_30MIN_INTERACCIONES,9
DEFAULT_DB,STAGE.CCEE_AGENT_30MIN_PLATAFORMA,21
DEFAULT_DB,STAGE.CCEE_POTENCIALES_ABANDONO,20
DEFAULT_DB,STAGE.CUSTOM_ROLES,3
DEFAULT_DB,STAGE.EVENT_METRICS,8
DEFAULT_DB,STAGE.EVENT_SKILL,20
DEFAULT_DB,STAGE.FACT_CCEE_METRICAS,42
DEFAULT_DB,STAGE.FUNNEL_CCEE,10
DEFAULT_DB,STAGE.INTERACCIONES_ABANDONADAS,192
DEFAULT_DB,STAGE.INTERACCIONES_SIN_MENSAJES,192
DEFAULT_DB,STAGE.INTERVALOS_MEDIA_HORA,6
DEFAULT_DB,STAGE.LYT_INTERACCIONES_MES,192
DEFAULT_DB,STAGE.LYT_SESIONES_MES,162
DEFAULT_DB,STAGE.LYT_SESIONES_SIMULACIUON,162
DEFAULT_DB,STAGE.MESSAGE_METRICS,42
