table,columns
AY_SMS_Dic_V2,2
BD_NERE,2
BD_NP,68
NP_FUNNEL_ACOTADO_RESUMEN,20
NP_FUNNEL_SUPER_ACOTADO_RESUMEN,14
PBI_RAT_LYT_ACCESADAS_AURA_RESUMEN_NOV24_JUL25,39
RA_AURA_CUALQUIER_CDU_REIT,40
RA_AURA_MISMO_CDU_REIT,40
RA_AURA_REIT,40
RA_AVERIAS_REGISTRO_LN_MUESTRA,19
RA_ENCUESTAS_AURA_ULT_MES,76
RA_ENCUESTA_ULT3MESES,58
RA_ENCUESTA_ULT6MESES,58
RA_ENTENDIMIENTO_PREG_ABIERTA,7
RA_ENTENDIMIENTO_PREG_ABIERTA_MES,6
RA_FUNNEL_ACOTADO_RESUMEN,21
RA_LN_INDICADORES_CONSOLIDADO,15
RA_LN_INDICADORES_CONSOLIDADO_DIARIO,15
RA_REITERACION_DISENO_AURA_CUALQUIER_CDU,40
RA_REITERACION_DISENO_AURA_IND_CONSOL,15
RA_REITERACION_DISENO_AURA_MISMO_CDU,40
RA_RESUMEN_AURA_CUALQUIER_CDU_REIT,38
RA_RESUMEN_AURA_MISMO_CDU_REIT,41
SMS_Dic_v2,2
sysdiagrams,5
20250219_Faco,18
20250219_Faco1,18
20250219_Faco2,18
DIM_MES,2
JCO_CAMPANAS_202503,4
JCO_Faco_20250220_1,17
JCO_RETEN_MOVIL,57
KAJ_DETALLE_ENTRANTES_VISOR_RET_DETALLE_1A1_V2,25
KAJ_RESUMEN_ENTRANTES_VISOR_v2,20
LD_CEI_LIMA_12DIC_26DIC_FINAL,9
LD_DHCP_240102,9
LD_TELEMETRY_240102,12
TEMP_ALDM_CASOS_MOTIVOS_TECNICOS,39
T_ALDM_Base_Interacciones_temp,42
T_ALDM_Casos_consolidado_202401,57
T_ALDM_Casos_consolidado_202402,57
T_ALDM_Casos_consolidado_202403,58
T_ALDM_Casos_consolidado_202403_1,58
T_ALDM_Casos_consolidado_202404,57
T_ALDM_Casos_consolidado_202405,57
T_ALDM_Casos_consolidado_202406,57
T_ALDM_Casos_consolidado_202407,57
T_ALDM_Casos_consolidado_202408,57
T_ALDM_Casos_consolidado_202409,57
T_ALDM_Casos_consolidado_202410,57
T_ALDM_Casos_consolidado_202411,57
T_ALDM_Casos_consolidado_202412,57
T_ALDM_Casos_consolidado_202501,57
T_ALDM_Casos_consolidado_202502,57
T_ALDM_base_casos_temp,57
