table,columns
T_DETALLE_INFOMART_202403,81
T_DETALLE_INFOMART_202404,81
T_DETALLE_INFOMART_202405,81
T_DETALLE_INFOMART_202406,81
T_DETALLE_INFOMART_202407,81
T_DETALLE_INFOMART_202408,81
T_DETALLE_INFOMART_202409,81
T_DETALLE_INFOMART_202410,81
T_DETALLE_INFOMART_202411,81
T_DETALLE_INFOMART_202412,81
T_DETALLE_INFOMART_202501,81
T_DETALLE_INFOMART_202502,81
T_DETALLE_INFOMART_202503,81
T_DETALLE_INFOMART_202504,81
T_DETALLE_INFOMART_202505,81
T_DETALLE_INFOMART_202506,81
T_DETALLE_INFOMART_202507,81
T_DETALLE_INFOMART_202508,81
T_DETALLE_INFOMART_202509,81
T_DETALLE_INFOMART_202510,81
T_DETALLE_INFOMART_202511,81
T_DETALLE_INFOMART_202512,81
T_DETALLE_INFOMART_202601,81
T_DETALLE_INFOMART_202602,81
T_DETALLE_INFOMART_MES,81
T_DETALLE_INFOMART_MES_TODAY,81
T_DIM_ARBOL_IVR,26
T_DIM_COLA,19
T_DIM_NEGOCIO,3
T_DIM_PLATAFORMA,6
T_DIM_PLATAFORMA_ATENCION,2
T_DIM_PLATAFORMA_UMBRAL,16
T_DIM_PROGRAMA,11
T_DIM_SEGMENTO,3
T_LISTADO_DNIS_GENESYS,5
VAL_TIENDA_MES,8
__ELIMINAR__ASESORES_P2P,3
__ELIMINAR__CANAL_RECAUDACION_RESUMEN,9
__ELIMINAR__CATALOGO_PLATAFORMA,2
__ELIMINAR__CONTACT_RATE_ADHOC_CONTACTOS,44
__ELIMINAR__CONTACT_RATE_ADHOC_CONTACTOS_2,44
__ELIMINAR__CONTACT_RATE_ADHOC_TOTAL,37
__ELIMINAR__CONTACT_RATE_CRUCE_FACO2,8
__ELIMINAR__CONTACT_RATE_FRACCIONAMIENTOS,3
__ELIMINAR__DASHBOARD_CONFIGURACION,2
__ELIMINAR__DASHBOARD_TIPIFICACIONES,20
__ELIMINAR__DASHBOARD_TIPIFICACIONES2,17
__ELIMINAR__DASHBOARD_TIPIFICACIONES_CODIGO,10
__ELIMINAR__DASHBOARD_TIPIFICACIONES_CUMPLIMIENTO,14
__ELIMINAR__DASHBOARD_TIPIFICACIONES_MOTIVOS,16
__ELIMINAR__DASHBOARD_TIPIFICACIONES_RANKING,8
__ELIMINAR__DASHBOARD_TIPIFICACIONES_VARIACION,12
__ELIMINAR__DASHBOARD_TIPIFICACIONES_VISOR,32
__ELIMINAR__DASHBOARD_TIPIFICACIONES_VISOR_BKP,26
__ELIMINAR__DETALLE_LLAMADAS_FIJA,26
__ELIMINAR__DETALLE_LLAMADAS_TIPIFICADAS,26
__ELIMINAR__DETALLE_LLAMADAS_TOTAL,12
__ELIMINAR__MUESTREO_ESCUCHAS_CONFIG,3
__ELIMINAR__NPS_SUB_MOTIVOS,10
__ELIMINAR__REITERADAS_INTERCANAL,5
__ELIMINAR__REITERADAS_OMNICANAL,43
__ELIMINAR__RET_FIJA_VW_BM_VISRETCALATN,183
__ELIMINAR__RET_FIJA_VW_BM_VISRETCALGSS,183
__ELIMINAR__TEMATICO_CONSOLIDADO_MOTIVOS,2
__ELIMINAR__T_JSH_DETALLE_FLUJO_IVR_MES,71
__ELIMINAR__T_LISTA_CABINAS,9
__ELIMINAR__T_TRAZABILIDAD_AUTOMATISMOS_MES,34
__ELIMINAR__T_V2_TEMPORAL_REGULADOS_PW,20
__ELIMINAR__USUARIOS_GENESYS,4
__ELIMINAR__VISOR_TIPIFICACIONES_CURSO,32
__ELIMINAR__borrar_INDICADORES_CONTACTOS,13
borrar_Catalogo_Plataforma_BKP,2
tmp_accesadas,29
tmp_tipificaciones_web,20
STAGE.T_ACCESADAS_SKYLINE,37
STAGE.T_ACCESADAS_SKYLINE_V2,39
AURA_MES,77
CARGA_INFORMACION_ACCEDAS_TODAY_TERADATA_ECARE,14
CATALOGO_IVR_CONTINGENTE_OPCIONES,8
CATALOGO_VISOR_TIPIS,13
CONTROL_ACTUALIZACION_PROCESOS,5
CONTROL_TABLAS_A_TERADATA,2
CROSS_OBJETIVOS_TRANSFERENCIA,9
DIAS_PROCESO,3
DIM_CDR_DNIS,4
GPR_CATALOGO_MOTIVOS_TIPIFICACIONES,5
GP_LYT_INTERACCIONES_202411_SIMUL,144
GP_LYT_SESIONES_202411_SIMUL,116
GP_LYT_SESIONES_202411_SIMUL2,116
