database,table,columns
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20251021,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20251023,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20251107,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20251117,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20251121,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20251126,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20251127,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20251201,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20251211,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20251217,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20251230,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20260102,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20260105,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20260109,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20260212,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20260226,172
FACTURACION,T_FACT_GE_PPTO,12
FACTURACION,T_FACT_GE_PPTO_20251007,12
FACTURACION,T_FACT_LISTA_METRICAS_CU,2
FACTURACION,T_FACT_LISTA_METRICAS_IMPACTOS,2
FACTURACION,T_FACT_PPTO_V2,5
FACTURACION,T_GE_DEMANDA,5
FACTURACION,T_INPUT_ADICIONAL_FACTURACION,9
FACTURACION,T_INPUT_CALIDAD,11
FACTURACION,T_INPUT_CUMPLE_CUOTA,8
FACTURACION,T_INPUT_EFECTIVIDAD_VENTAS,8
FACTURACION,T_INPUT_ERROR_ENVIO_CAMPO,8
FACTURACION,T_INPUT_ERROR_TRANSFERENCIA_RECLAMOS,8
FACTURACION,T_INPUT_FACTOR_DESEMPENIO,8
FACTURACION,T_INPUT_FDS,16
FACTURACION,T_INPUT_FDS_ALBATROS,17
FACTURACION,T_INPUT_HORARIO,24
FACTURACION,T_INPUT_LINEA_FINAL_FACTURACION_BO_OTROS_KIPU,15
FACTURACION,T_INPUT_LINEA_FINAL_FACTURACION_CCEE_KIPU,60
FACTURACION,T_INPUT_LINEA_FINAL_FACTURACION_VOZ_KIPU_ALBATROS,98
FACTURACION,T_INPUT_PARAMETROS,46
FACTURACION,T_INPUT_PARAMETROS_VOZ_CIRCULAR,6
FACTURACION,T_INPUT_PARAMETROS_VOZ_FDD,12
FACTURACION,T_INPUT_RANGO_DESVIACION,3
FACTURACION,T_INPUT_RESUMEN_ENCUESTAS,7
